id,cd_acao_rdz,nm_empresa,setor_economico,subsetor,segmento,segmento_b3,nm_segmento_b3,cd_acao,tx_cnpj,vl_cnpj,created_at,updated_at
371,APER,ALPER S.A.,FINANCEIRO,PREVIDÊNCIA E SEGUROS,CORRETORAS DE SEGUROS,NM,,APER3,11.721.921/0001-60,11721921000160,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
372,WIZS,WIZ S.A.,FINANCEIRO,PREVIDÊNCIA E SEGUROS,CORRETORAS DE SEGUROS,NM,,WIZS3,42.278.473/0001-03,42278473000103,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
381,IGTA,IGUATEMI,FINANCEIRO,EXPLORAÇÃO DE IMÓVEIS,EXPLORAÇÃO DE IMÓVEIS,NM,,IGTA3,51.218.147/0001-93,51218147000193,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
386,SCAR,SAO CARLOS,FINANCEIRO,EXPLORAÇÃO DE IMÓVEIS,EXPLORAÇÃO DE IMÓVEIS,NM,,SCAR3,29.780.061/0001-09,29780061000109,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
415,RRRP,3R PETROLEUM,PETRÓLEO. GÁS E BIOCOMBUSTÍVEIS,PETRÓLEO. GÁS E BIOCOMBUSTÍVEIS,EXPLORAÇÃO. REFINO E DISTRIBUIÇÃO,NM,,RRRP3,12.091.809/0001-55,12091809000155,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
416,AERI,AERIS,BENS INDUSTRIAIS,MÁQUINAS E EQUIPAMENTOS,MÁQ. E EQUIP. INDUSTRIAIS,NM,,AERI3,12.528.708/0001-07,12528708000107,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
417,ALLD,ALLIED,CONSUMO CÍCLICO,COMÉRCIO,ELETRODOMÉSTICOS,NM,,ALLD3,20.247.322/0001-47,20247322000147,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
418,ALPK,ESTAPAR,BENS INDUSTRIAIS,SERVIÇOS,SERVIÇOS DIVERSOS,NM,,ALPK3,60.537.263/0001-66,60537263000166,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
419,AVLL,ALPHAVILLE,CONSUMO CÍCLICO,CONSTRUÇÃO CIVIL,INCORPORAÇÕES,NM,,AVLL3,16.811.931/0001-00,16811931000100,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
420,AMBP,AMBIPAR,UTILIDADE PÚBLICA,ÁGUA E SANEAMENTO,ÁGUA E SANEAMENTO,NM,,AMBP3,12.648.266/0001-24,12648266000124,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
422,BOAS,BOA VISTA,FINANCEIRO,SERVIÇOS FINANCEIROS DIVERSOS,SERVIÇOS FINANCEIROS DIVERSOS,NM,,BOAS3,11.725.176/0001-27,11725176000127,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
424,DMVF,D1000VFARMA,SAÚDE,COMÉRCIO E DISTRIBUIÇÃO,MEDICAMENTOS E OUTROS PRODUTOS,NM,,DMVF3,12.108.897/0001-50,12108897000150,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
425,ENJU,ENJOEI,TECNOLOGIA DA INFORMAÇÃO,PROGRAMAS E SERVIÇOS,PROGRAMAS E SERVIÇOS,NM,,ENJU3,16.922.038/0001-51,16922038000151,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
426,SOMA,GRUPO SOMA,CONSUMO CÍCLICO,COMÉRCIO,"TECIDOS, VESTUÁRIO E CALÇADOS",NM,,SOMA3,10.285.590/0001-08,10285590000108,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
427,GMAT,GRUPO MATEUS,CONSUMO NÃO CÍCLICO,COMÉRCIO E DISTRIBUIÇÃO,ALIMENTOS,NM,,GMAT3,24.990.777/0001-09,24990777000109,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
428,HBRE,HBR REALTY,FINANCEIRO,EXPLORAÇÃO DE IMÓVEIS,EXPLORAÇÃO DE IMÓVEIS,NM,,HBRE3,14.785.152/0001-51,14785152000151,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
429,LAVV,LAVVI,CONSUMO CÍCLICO,CONSTRUÇÃO CIVIL,INCORPORAÇÕES,NM,,LAVV3,26.462.693/0001-28,26462693000128,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
430,LJQQ,QUERO-QUERO,CONSUMO CÍCLICO,COMÉRCIO,PRODUTOS DIVERSOS,NM,,LJQQ3,96.418.264/0218-02,96418264021802,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
431,CASH,MELIUZ,TECNOLOGIA DA INFORMAÇÃO,PROGRAMAS E SERVIÇOS,PROGRAMAS E SERVIÇOS,NM,,CASH3,14.110.585/0001-07,14110585000107,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
432,MELK,MELNICK,CONSUMO CÍCLICO,CONSTRUÇÃO CIVIL,INCORPORAÇÕES,NM,,MELK3,12.181.987/0001-77,12181987000177,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
433,NGRD,NEOGRID,TECNOLOGIA DA INFORMAÇÃO,PROGRAMAS E SERVIÇOS,PROGRAMAS E SERVIÇOS,NM,,NGRD3,10.139.870/0001-08,10139870000108,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
434,PETZ,PETZ,CONSUMO CÍCLICO,COMÉRCIO,PRODUTOS DIVERSOS,NM,,PETZ3,18.328.118/0001-09,18328118000109,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
435,PLPL,PLANOEPLANO,CONSUMO CÍCLICO,CONSTRUÇÃO CIVIL,INCORPORAÇÕES,NM,,PLPL3,24.230.275/0001-80,24230275000180,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
441,TFCO,TRACK FIELD,CONSUMO CÍCLICO,"TECIDOS, VESTUÁRIO E CALÇADOS",VESTUÁRIO,N2,,TFCO4,59.418.806/0001-47,59418806000147,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
442,CSED,CRUZEIRO EDU,CONSUMO CÍCLICO,DIVERSOS,SERVIÇOS EDUCACIONAIS,NM,,CSED3,62.984.091/0001-02,62984091000102,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
445,DOTZ,DOTZ SA,CONSUMO CÍCLICO,DIVERSOS,PROGRAMAS DE FIDELIZAÇÃO,NM,,DOTZ3,18.174.270/0001-84,18174270000184,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
447,POWE,FOCUS ON,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,NM,,POWE3,26.735.020/0001-02,26735020000102,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
448,G2DI,G2D INVEST,FINANCEIRO,SERVIÇOS FINANCEIROS DIVERSOS,GESTÃO DE RECURSOS E INVESTIMENTOS,DR3,,G2DI33,38.307.135/0001-77,38307135000177,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
449,NINJ,GETNINJAS,TECNOLOGIA DA INFORMAÇÃO,PROGRAMAS E SERVIÇOS,PROGRAMAS E SERVIÇOS,NM,,NINJ3,14.127.813/0001-51,14127813000151,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
451,MATD,MATER DEI,SAÚDE,"SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS","SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS",NM,,MATD3,16.676.520/0001-59,16676520000159,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
452,AESB,AES BRASIL,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,NM,,AESB3,37.663.076/0001-07,37663076000107,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
453,AGXY,AGROGALAXY,CONSUMO NÃO CÍCLICO,AGROPECUÁRIA,AGRICULTURA,NM,,AGXY3,21.240.146/0001-84,21240146000184,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
455,MODL,MODALMAIS,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,N2,,"MODL3, MODL4, MODL11",30.723.886/0001-62,30723886000162,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
457,SOJA,BOA SAFRA,CONSUMO CÍCLICO,AGROPECUÁRIA,AGRICULTURA,NM,,SOJA3,10.807.374/0001-77,10807374000177,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
458,BRBI,BR PARTNERS,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,N2,,BRBI11,10.739.356/0001-03,10739356000103,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
459,BRIT,BRISANET,COMUNICAÇÕES,TELECOMUNICAÇÕES,TELECOMUNICAÇÕES,NM,,BRIT3,19.796.586/0001-70,19796586000170,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
461,CBAV,CBA,MATERIAIS BÁSICOS,MINERAÇÃO,MINERAIS METÁLICOS,NM,,CBAV3,61.409.892/0001-73,61409892000173,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
462,GRAO,AGRIBRASIL,CONSUMO NÃO CÍCLICO,AGROPECUÁRIA,AGRICULTURA,MA,,GRAO3,18.483.666/0001-03,18483666000103,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
463,IFCM,INFRACOMM,TECNOLOGIA DA INFORMAÇÃO,PROGRAMAS E SERVIÇOS,PROGRAMAS E SERVIÇOS,NM,,IFCM3,38.456.921/0001-36,38456921000136,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
464,INTB,INTELBRAS,TECNOLOGIA DA INFORMAÇÃO,COMPUTADORES E EQUIPAMENTOS,COMPUTADORES E EQUIPAMENTOS,NM,,INTB3,82.901.000/0001-27,82901000000127,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
467,KRSA,KORA SAUDE,SAÚDE,"SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS","SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS",NM,,KRSA3,13.270.520/0001-66,13270520000166,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
470,MBLY,MOBLY,TECNOLOGIA DA INFORMAÇÃO,PROGRAMAS E SERVIÇOS,PROGRAMAS E SERVIÇOS,NM,,MBLY3,31.553.627/0001-01,31553627000101,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
472,ESPA,ESPACOLASER,CONSUMO CÍCLICO,COMÉRCIO,PRODUTOS DIVERSOS,NM,,ESPA3,26.659.061/0001-59,26659061000159,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
473,MLAS,MULTILASER,TECNOLOGIA DA INFORMAÇÃO,COMPUTADORES E EQUIPAMENTOS,COMPUTADORES E EQUIPAMENTOS,NM,,MLAS3,59.717.553/0001-02,59717553000102,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
475,ONCO,ONCOCLINICAS,SAÚDE,"SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS","SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS",NM,,ONCO3,12.104.241/0004-02,12104241000402,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
476,ORVR,ORIZON,UTILIDADE PÚBLICA,ÁGUA E SANEAMENTO,ÁGUA E SANEAMENTO,NM,,ORVR3,11.421.994/0001-36,11421994000136,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
478,RAIZ,RAIZEN,CONSUMO NÃO CÍCLICO,AGROPECUÁRIA,AGRICULTURA,N2,,RAIZ4,33.453.598/0001-23,33453598000123,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
480,TRAD,TC,TECNOLOGIA DA INFORMAÇÃO,PROGRAMAS E SERVIÇOS,PROGRAMAS E SERVIÇOS,NM,,TRAD3,26.345.998/0001-50,26345998000150,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
482,LAND,TERRASANTAPA,CONSUMO NÃO CÍCLICO,AGROPECUÁRIA,AGRICULTURA,NM,,LAND3,40.337.136/0001-06,40337136000106,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
483,TTEN,3TENTOS,CONSUMO NÃO CÍCLICO,AGROPECUÁRIA,AGRICULTURA,NM,,TTEN3,94.813.102/0001-70,94813102000170,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
485,WEST,WESTWING,TECNOLOGIA DA INFORMAÇÃO,PROGRAMAS E SERVIÇOS,PROGRAMAS E SERVIÇOS,NM,,WEST3,14.776.142/0001-50,14776142000150,2021-10-22 01:00:03.000000 UTC,2021-10-22 01:00:03.000000 UTC
