cnpj,optante_simples,optante_simei
10227933000170,false,false
10249015000141,false,false
10353516000173,false,false
10432918000163,false,false
10462656000180,false,false
10509333000102,false,false
10512581000102,false,false
10567870000109,false,false
10572048003810,false,false
10599719000144,false,false
10624361000162,false,false
10803851000126,false,false
10896732000165,false,false
10970887010590,false,false
11164122000130,false,false
11202666000149,false,false
11516254000183,false,false
11516676000159,false,false
11901977000287,false,false
12049631000184,false,false
12066088000123,false,false
12107701000103,false,false
12130744000100,false,false
12535446000108,false,false
12681280000120,false,false
12807563000841,false,false
13250978000153,false,false
13674289000176,false,false
13765489000134,false,false
13947569000453,false,false
14110585000107,false,false
14380320000129,false,false
14535050000340,false,false
14776142000150,false,false
15043138000145,false,false
15101405000193,false,false
15107421000193,false,false
15466144000105,false,false
15660952000109,false,false
15761008000148,false,false
15774612000109,false,false
15798194000190,false,false
16614075000100,false,false
16811931000100,false,false
16902314006401,false,false
16945284000129,false,false
17011779000143,false,false
17033453000117,false,false
17161241000115,false,false
17218295000250,false,false
17466371000166,false,false
17528330000157,false,false
18243615000104,false,false
18253779000112,false,false
18593815000197,false,false
18619025000133,false,false
18882093000190,false,false
19526748000150,false,false
19824428000187,false,false
19836078000179,false,false
19846785000146,false,false
20130782000190,false,false
20196158000277,false,false
20314377000122,false,false
20341860000104,false,false
20684195000143,false,false
21004231000143,false,false
21067825000101,false,false
21475315000165,false,false
21496381000111,false,false
21961806000116,false,false
22055773000108,false,false
22742913000116,false,false
23265671000180,false,false
23286346000101,false,false
23456138000103,false,false
23873368000160,false,false
23892743000119,false,false
24199199000197,false,false
24230275000180,false,false
24365549000148,false,false
24405116000179,false,false
24501384000194,false,false
24537328000100,false,false
24550835000183,false,false
25277531000157,false,false
25681947000136,false,false
26163591000101,false,false
26375585000118,false,false
26442031000196,false,false
26474744000131,false,false
26698524000191,false,false
27167403000186,false,false
27205817000152,false,false
27355258000167,false,false
27542156000150,false,false
27600290000160,false,false
27672439000117,false,false
27735633000102,false,false
27897149000171,false,false
28106267000187,false,false
28435370000251,false,false
28527449000121,false,false
29088445000157,false,false
29180947000103,false,false
29241082000148,false,false
29678780000105,false,false
30125363000114,false,false
30353933000123,false,false
30578280000180,false,false
31207206000110,false,false
31291215000132,false,false
31325341000160,false,false
31331372000124,false,false
31726624000114,false,false
31747165000155,false,false
31852638000184,false,false
32141669000190,false,false
32600673000179,false,false
33035536000100,false,false
33040601000187,false,false
33071847000388,false,false
33164021010679,false,false
33381286005706,false,false
33470230000173,false,false
33592510000154,false,false
33698290000148,false,false
33818514000108,false,false
33839910000111,false,false
33978172000355,false,false
34526084000113,false,false
34670717000162,false,false
34897728000180,false,false
35614719000105,false,false
35936365000107,false,false
36537805000116,false,false
36774442000132,false,false
36906290000184,false,false
36950726000132,false,false
37311108000105,false,false
41813684000128,false,false
42165035000120,false,false
43776517000180,false,false
45242914039141,false,false
47508411000156,false,false
47960950115611,false,false
48325310000102,false,false
49425457000137,false,false
50255355000108,false,false
54826532000292,false,false
58062779000150,false,false
58069360002335,false,false
58392432000175,false,false
59285411000113,false,false
59418806000147,false,false
59754523000176,false,false
60500139000126,false,false
60543816000193,false,false
60840055000131,false,false
60933603000178,false,false
61351532000168,false,false
62002886000160,false,false
62951355000113,false,false
63304950000120,false,false
64904295000103,false,false
65524944002319,false,false
65993453003399,false,false
67010660000124,false,false
67170431000177,false,false
67241901000146,false,false
68550201000104,false,false
70116827000493,false,false
71120018000175,false,false
71541320000105,false,false
72375975000105,false,false
72520968000150,false,false
73113243000290,false,false
73965485000121,false,false
76648500002492,false,false
78666096000119,false,false
79221172000226,false,false
79230959000254,false,false
80583941000134,false,false
83017350000198,false,false
84683408000103,false,false
85045532000106,false,false
85070068003387,false,false
85128981001262,false,false
86975760000130,false,false
89096457000155,false,false
89288229000187,false,false
90347840003486,false,false
90400888141714,false,false
91220624000170,false,false
91983056000169,false,false
92390137000118,false,false
92693019000189,false,false
92791243000103,false,false
96402177000193,false,false
97131635000160,false,false
97411441000118,false,false
97548354000107,false,false
10292792000179,false,false
10387557000180,false,false
10417109000263,false,false
10418525000103,false,false
10462980000106,false,false
10568044000176,false,false
10739356000103,false,false
10746497000145,false,false
10757963000198,false,false
10760260000119,false,false
10807374000177,false,false
10918425000219,false,false
10987121000122,false,false
11022930000162,false,false
11293682000194,false,false
11854914000217,false,false
11909813000115,false,false
12218548000191,false,false
13133321000106,false,false
14071828000145,false,false
14796945000338,false,false
15008922000112,false,false
15069110000187,false,false
15141799000103,false,false
15527906000136,false,false
15550294000100,false,false
15586839000120,false,false
15592293000110,false,false
15729219007025,false,false
15744316000165,false,false
15753371000111,false,false
15803046000116,false,false
16650254000195,false,false
16658089000118,false,false
16715174000170,false,false
16930078000145,false,false
17245234000100,false,false
17314329000120,false,false
17388714000111,false,false
17401896000385,false,false
17455793000136,false,false
17469410000189,false,false
17621467000585,false,false
18151162000196,false,false
18450333000188,false,false
18471932000188,false,false
18786219000123,false,false
19965495000111,false,false
20548493000106,false,false
21236193000154,false,false
21500321000125,false,false
21561280000187,false,false
22266175000188,false,false
22584798000107,false,false
22589796000100,false,false
22695041000182,false,false
22939864000106,false,false
23455820000173,false,false
23458802000145,false,false
23608695000194,false,false
23774124000120,false,false
24326807000187,false,false
24495618000138,false,false
24602508000128,false,false
24638189000100,false,false
24684800000137,false,false
25198493000147,false,false
26242107000563,false,false
26670656000105,false,false
27035634000217,false,false
27122253000194,false,false
27432853000159,false,false
27547927000100,false,false
27612338000150,false,false
27847973000389,false,false
27853078000105,false,false
28053296000551,false,false
28442352000116,false,false
