cnpj,saude_tributaria
21165619000126,CINZA
21165888000192,CINZA
21209500000108,CINZA
21457092000103,CINZA
21503641000139,CINZA
21532158000344,CINZA
21619776000164,CINZA
21656561000113,CINZA
21700753000180,CINZA
21755141000194,CINZA
21761581000154,CINZA
21797670000150,CINZA
21799798000153,CINZA
21806168000169,CINZA
21882863000100,CINZA
21883618000117,CINZA
21885096000192,CINZA
21957696000119,CINZA
21979382000117,CINZA
22000009000135,CINZA
22041828000120,CINZA
22168825000152,CINZA
22168922000145,CINZA
22203096000128,CINZA
22213082000195,CINZA
22240048000100,CINZA
22267511000107,CINZA
22353693000139,CINZA
22383107000441,CINZA
22465266000142,CINZA
22485716000169,CINZA
22526659000119,CINZA
22531817000129,CINZA
22568366000102,CINZA
22609057000125,CINZA
22634221000154,CINZA
22638104000169,CINZA
22670615001210,CINZA
22761107000195,CINZA
22765718000101,CINZA
22851488000101,CINZA
22863350000114,CINZA
22906458000147,CINZA
23056550000128,CINZA
23153659000183,CINZA
23249157000150,CINZA
23288453000160,CINZA
23305859000104,CINZA
23309137000128,CINZA
23365438000179,CINZA
23426334000127,CINZA
23473489000114,CINZA
23475988000140,CINZA
23485712000143,CINZA
23506854000140,CINZA
23533692000139,CINZA
23553058000168,CINZA
23557786000148,CINZA
23589509000117,CINZA
23591961000113,CINZA
23648309000198,CINZA
23715221000141,CINZA
23843542000121,CINZA
23853702000113,CINZA
23862892000135,CINZA
23894167000149,CINZA
23943196000153,CINZA
23945101000130,CINZA
23968824000155,CINZA
23977218000104,CINZA
24039733000106,CINZA
24070185000179,CINZA
24076256000140,CINZA
24081040000173,CINZA
24143859000118,CINZA
24171048000120,CINZA
24180971000200,CINZA
24300302000143,CINZA
24310374000171,CINZA
24365861000131,CINZA
24406090000183,CINZA
24442856000185,CINZA
24501572000112,CINZA
24511821000150,CINZA
24547279000196,CINZA
24582675000154,CINZA
24599077000198,CINZA
24615804000163,CINZA
24641977000156,CINZA
24647060000169,CINZA
24693338000134,CINZA
24714782000199,CINZA
24734022000143,CINZA
24740616000167,CINZA
24796180000128,CINZA
24828247000169,CINZA
24928930000178,CINZA
24935116000180,CINZA
24943552000100,CINZA
24949852000198,CINZA
24969346000160,CINZA
24990777000109,CINZA
24991795000105,CINZA
24996042000192,CINZA
24996645000194,CINZA
25086234000124,CINZA
25095946000100,CINZA
25119534000162,CINZA
25139012000122,CINZA
25187752000134,CINZA
25211431000128,CINZA
25241600000172,CINZA
25302613000104,CINZA
25425527000199,CINZA
26160250000182,CINZA
26161864000189,CINZA
26167931000172,CINZA
26172225000119,CINZA
26206663000150,CINZA
26226883000146,CINZA
26279946000122,CINZA
26325996000107,CINZA
26345987000170,CINZA
26437565000124,CINZA
26462693000128,CINZA
26511145000140,CINZA
26569444000136,CINZA
26592110000183,CINZA
26595380000148,CINZA
26613127000170,CINZA
26675941000119,CINZA
26749654000106,CINZA
26771275000112,CINZA
26837927000174,CINZA
26849177000150,CINZA
26857145000105,CINZA
26888696000128,CINZA
26919141000104,CINZA
26951409000187,CINZA
26992371000190,CINZA
26997435000146,CINZA
27048148000152,CINZA
27078329000121,CINZA
27079485000107,CINZA
27091017000158,CINZA
27184980000186,CINZA
27188615000140,CINZA
27211830000114,CINZA
27314894000140,CINZA
27329686000115,CINZA
27364639000102,CINZA
27373811000194,CINZA
27400207000100,CINZA
27482598000159,CINZA
27507915000144,CINZA
27512045000100,CINZA
27516078000110,CINZA
27542165000141,CINZA
27619693000151,CINZA
27651179000101,CINZA
27701786000120,CINZA
27750570000155,CINZA
27765356000172,CINZA
27891288000198,CINZA
27909824000135,CINZA
27969063000107,CINZA
28033634000160,CINZA
28050380000198,CINZA
28080733000100,CINZA
28091333000192,CINZA
28204615000159,CINZA
28210116000174,CINZA
28249189000170,CINZA
28260682000190,CINZA
28328762000130,CINZA
28362175000168,CINZA
28364888000160,CINZA
28405602000148,CINZA
28417585000169,CINZA
28454731000126,CINZA
28460666000141,CINZA
28464432000172,CINZA
28478589000157,CINZA
28480921000118,CINZA
28495295000133,CINZA
28517362000173,CINZA
28542548000182,CINZA
28599039000196,CINZA
28610147000112,CINZA
28736813000163,CINZA
28762712000167,CINZA
28778284000160,CINZA
28788028000154,CINZA
28888512000155,CINZA
28908834000119,CINZA
28924485000129,CINZA
28965577000157,CINZA
28972959000108,CINZA
28995259000139,CINZA
29048148000188,CINZA
29063262000187,CINZA
29072904000104,CINZA
29117364000138,CINZA
29170431000188,CINZA
29183386000104,CINZA
29198152000122,CINZA
29217373000109,CINZA
29225385000177,CINZA
29307486000197,CINZA
29318768000190,CINZA
29375306000104,CINZA
29539967000128,CINZA
29625454000130,CINZA
29648815000163,CINZA
29654488000152,CINZA
29701269000187,CINZA
29734971000147,CINZA
29748739000168,CINZA
29789382000166,CINZA
29813253000166,CINZA
29843584000149,CINZA
29861393000100,CINZA
29870777000199,CINZA
29899157000182,CINZA
29997472000142,CINZA
30030707000101,CINZA
30053365000145,CINZA
30064595000100,CINZA
30072473000165,CINZA
30072724000101,CINZA
30077215000171,CINZA
30091106000109,CINZA
30096023000102,CINZA
30097548000162,CINZA
30110444000140,CINZA
30149155000155,CINZA
30171778000124,CINZA
30179215000182,CINZA
30186196000111,CINZA
30197114000134,CINZA
30310374000174,CINZA
30363942000103,CINZA
30372930000137,CINZA
30384120000109,CINZA
30426667000111,CINZA
30426771000106,CINZA
30552971000105,CINZA
30572989000179,CINZA
30615453000193,CINZA
30643112000121,CINZA
30721888000112,CINZA
30767580000108,CINZA
30825366000160,CINZA
30838984000145,CINZA
30839243000189,CINZA
30864737000113,CINZA
30886486000178,CINZA
30902803115340,CINZA
30912013000289,CINZA
30913216000109,CINZA
30915777000147,CINZA
30949422000179,CINZA
30963362000149,CINZA
30972476000155,CINZA
31000596000153,CINZA
31076015000167,CINZA
31083980000167,CINZA
31110720000133,CINZA
31160130000115,CINZA
31170577000175,CINZA
31202819000165,CINZA
31280650000161,CINZA
31291203000108,CINZA
31298043000129,CINZA
31385611000129,CINZA
31442208000194,CINZA
31484105000197,CINZA
31535993000120,CINZA
31548271000100,CINZA
31625149000190,CINZA
31800919000193,CINZA
31908009000129,CINZA
31920513000144,CINZA
31927854000141,CINZA
31932960000113,CINZA
31950373000157,CINZA
31968737000126,CINZA
32057498000115,CINZA
32078812000146,CINZA
32112587000117,CINZA
32152066000193,CINZA
32222246000102,CINZA
32276221000183,CINZA
32286827000108,CINZA
32296793000124,CINZA
32353309000151,CINZA
32366247000112,CINZA
32370083000105,CINZA
32376110000149,CINZA
32379450000123,CINZA
32391803000100,CINZA
32409488000100,CINZA
32446801000171,CINZA
32491856000101,CINZA
32501008000128,CINZA
32551344000185,CINZA
32572555000102,CINZA
32597362000106,CINZA
32614064000179,CINZA
32636891000163,CINZA
32676796000193,CINZA
32678683000127,CINZA
32680769000194,CINZA
32753244000131,CINZA
32756864000124,CINZA
32785497000197,CINZA
32845590000140,CINZA
32926023000118,CINZA
32947669000181,CINZA
32964586000109,CINZA
32977105000191,CINZA
32991557000128,CINZA
33000321000145,CINZA
33001234000102,CINZA
33041260110938,CINZA
33068505000147,CINZA
33107531000137,CINZA
33108158000139,CINZA
33161129000130,CINZA
33176001000140,CINZA
33260157000105,CINZA
33316446000189,CINZA
33321221000110,CINZA
33328661000108,CINZA
33350428000113,CINZA
33351441000197,CINZA
33356120000185,CINZA
33376989000191,CINZA
33387798000125,CINZA
33434554000156,CINZA
33472766000128,CINZA
33490109000103,CINZA
33495402000163,CINZA
33506222000130,CINZA
33607075000194,CINZA
33628134000100,CINZA
33640494000128,CINZA
33664610000149,CINZA
33692728000180,CINZA
33697118000170,CINZA
33744795000100,CINZA
33790050000179,CINZA
33800508000123,CINZA
33805373000199,CINZA
33823497000105,CINZA
33877315000170,CINZA
33884670000177,CINZA
33889913000160,CINZA
33948785000188,CINZA
33984894000150,CINZA
33997228000157,CINZA
33998201000189,CINZA
34002257000102,CINZA
34039164000144,CINZA
34053656000194,CINZA
34063340000183,CINZA
34085111000160,CINZA
34097044000101,CINZA
34144256000194,CINZA
34155403000121,CINZA
34169762000138,CINZA
34177837000122,CINZA
34181617000172,CINZA
34207823000104,CINZA
34218992000140,CINZA
34219628000102,CINZA
34222988000155,CINZA
34226013000103,CINZA
34230574000178,CINZA
34282956000145,CINZA
34298041000128,CINZA
34308094000182,CINZA
34331370000123,CINZA
34343441000108,CINZA
34361011000119,CINZA
34421378000180,CINZA
34424012000165,CINZA
34456891000107,CINZA
34486596000101,CINZA
34524034000105,CINZA
34536323000116,CINZA
34539649000105,CINZA
