cnpj,nivel_atividade
20998770000182,ALTO
21004275000173,ALTO
21060545000163,ALTO
21462652000118,ALTO
21841064000195,ALTO
22255711000140,ALTO
22642235000110,ALTO
22689491000162,ALTO
23150362000407,ALTO
23314452000143,ALTO
23848523000198,ALTO
23897964000180,ALTO
24222798000184,ALTO
24382622000190,ALTO
24465948000180,ALTO
24591514000127,ALTO
24753756000170,ALTO
24958229000100,ALTO
24967954000136,ALTO
25094262000193,ALTO
25571001000117,ALTO
26189200000128,ALTO
26320551000126,ALTO
26704391000119,ALTO
26730290000112,ALTO
26934549000147,ALTO
26966748000137,ALTO
27136560000124,ALTO
27854554000102,ALTO
28176652000109,ALTO
28660078000151,ALTO
28725963000171,ALTO
29469312000120,ALTO
30004755000125,ALTO
30153540000176,ALTO
30430614000174,ALTO
30722568000187,ALTO
30723886000162,ALTO
30875032000100,ALTO
30895950000192,ALTO
30900592000169,ALTO
31451523000188,ALTO
31500000000184,ALTO
31632362000129,ALTO
31664035000159,ALTO
31770074000130,ALTO
31845858000180,ALTO
32125703000132,ALTO
32355192000145,ALTO
32359384000120,ALTO
32423872000159,ALTO
32454323000141,ALTO
32465180000173,ALTO
32610148000134,ALTO
32688377000171,ALTO
32762282000150,ALTO
33013142000142,ALTO
33094446000181,ALTO
33200056017629,ALTO
33453598000123,ALTO
33521109000123,ALTO
33790565000179,ALTO
33797866000124,ALTO
34031220000102,ALTO
34189665000107,ALTO
34493597000175,ALTO
34619152000199,ALTO
34802590000198,ALTO
34851027000100,ALTO
34970567000102,ALTO
35003870000107,ALTO
35031167000102,ALTO
35158270000100,ALTO
35179315000122,ALTO
35243855000128,ALTO
35602257000106,ALTO
35661046000136,ALTO
35953811000191,ALTO
36167011000108,ALTO
36237692000133,ALTO
36256543000111,ALTO
36400531000119,ALTO
36706762000155,ALTO
36767928000143,ALTO
37043428000121,ALTO
37131723000130,ALTO
37144881000124,ALTO
37166320000126,ALTO
37210418000133,ALTO
37212512000121,ALTO
37226515000114,ALTO
37332265000105,ALTO
37383104000132,ALTO
37384140000110,ALTO
37755165000183,ALTO
37776646000175,ALTO
37819234000175,ALTO
37892685000138,ALTO
37919466000103,ALTO
37984369000196,ALTO
38102890000115,ALTO
38105584000132,ALTO
38173828000114,ALTO
38241894000184,ALTO
38488982000185,ALTO
39148198000190,ALTO
39370855000140,ALTO
39373823000106,ALTO
39388649000167,ALTO
39420758000114,ALTO
39477330000108,ALTO
39675845000112,ALTO
39730397000102,ALTO
40059338000133,ALTO
40111176000135,ALTO
40201092000192,ALTO
40203337000110,ALTO
40263945000110,ALTO
40325129000194,ALTO
40394356000171,ALTO
40509650000181,ALTO
40523917000195,ALTO
40557745000170,ALTO
40568372000133,ALTO
40650435000104,ALTO
40675202000158,ALTO
40967928000164,ALTO
40990634000153,ALTO
41061263000198,ALTO
41132117000106,ALTO
41248460000110,ALTO
41311439000112,ALTO
41350615000125,ALTO
41353223000110,ALTO
41385157000160,ALTO
41491567000195,ALTO
41510029000109,ALTO
41515404000103,ALTO
41543518000159,ALTO
41610750000162,ALTO
41666399000121,ALTO
41699681000105,ALTO
41817635000163,ALTO
42002864000192,ALTO
42166727000193,ALTO
42202007000136,ALTO
42202643000168,ALTO
42286333000179,ALTO
42386536000137,ALTO
42440736000120,ALTO
42533488000162,ALTO
42642840000106,ALTO
42689498000191,ALTO
42793905000106,ALTO
42909128000112,ALTO
42913654000156,ALTO
42955053000106,ALTO
43104800000165,ALTO
43137459000144,ALTO
43177485000104,ALTO
43289128000120,ALTO
43311313000173,ALTO
43375387000173,ALTO
43647624000108,ALTO
43720068000158,ALTO
43851308000153,ALTO
44046310000112,ALTO
44067511000104,ALTO
44231230000137,ALTO
44294323000100,ALTO
44645501000109,ALTO
44652861000120,ALTO
44708755000110,ALTO
44711461000148,ALTO
44817520000167,ALTO
44840656000198,ALTO
44986621000161,ALTO
45001715000105,ALTO
45110098000178,ALTO
45206503000156,ALTO
45337369000122,ALTO
45523360000106,ALTO
45563825000152,ALTO
45582000000185,ALTO
47063128026639,ALTO
48158877000131,ALTO
48344725000719,ALTO
54060603000108,ALTO
56643018000166,ALTO
61082004000150,ALTO
61486650000183,ALTO
61736732006412,ALTO
62466123000170,ALTO
63634596000282,ALTO
65071862000150,ALTO
66045956000118,ALTO
79972535000184,ALTO
80397144000162,ALTO
80747561000198,ALTO
82901000000127,ALTO
83878892000155,ALTO
87456562000122,ALTO
87869194000144,ALTO
89086144000116,ALTO
90441460000148,ALTO
92749225000163,ALTO
93388726000205,ALTO
10376862000177,ALTO
10399444000103,ALTO
10555523000158,ALTO
10646815000104,ALTO
11418223000190,ALTO
11669021000110,ALTO
12481365000164,ALTO
13009717000146,ALTO
13350645000104,ALTO
14780874000113,ALTO
14869151000195,ALTO
14880842000190,ALTO
14901850000175,ALTO
15144017000190,ALTO
15192937000183,ALTO
15219595000148,ALTO
15496111000108,ALTO
15545773000120,ALTO
15774521000173,ALTO
16506922000296,ALTO
16540391000177,ALTO
16945111000100,ALTO
17153702000108,ALTO
17434321000105,ALTO
17863423000138,ALTO
17994668000102,ALTO
18188627000183,ALTO
18494485000182,ALTO
18535098000147,ALTO
18569303000195,ALTO
19063698000112,ALTO
19069700000160,ALTO
19364445000189,ALTO
19536414000168,ALTO
19669278000184,ALTO
19691626000110,ALTO
19852625000100,ALTO
19853511000184,ALTO
20102891000102,ALTO
20258278000170,ALTO
20381367000100,ALTO
20426893000149,ALTO
20844600000143,ALTO
21095380000165,ALTO
21100044000163,ALTO
21573945000172,ALTO
21771900000102,ALTO
22548005000196,ALTO
22556854000191,ALTO
22649736000128,ALTO
22724783000199,ALTO
22754128000183,ALTO
23203264000148,ALTO
23364523000112,ALTO
24372158000150,ALTO
25066919000109,ALTO
25075332000166,ALTO
25104544000124,ALTO
25187455000199,ALTO
26294655000103,ALTO
26644787000118,ALTO
26673102000161,ALTO
27335951000178,ALTO
27634526000180,ALTO
28031789000167,ALTO
28119604000170,ALTO
28258318000196,ALTO
28583781000103,ALTO
28683635000150,ALTO
28832549000161,ALTO
28853648000120,ALTO
29319049000193,ALTO
29521073000100,ALTO
29614621000147,ALTO
29755159000106,ALTO
30094114002900,ALTO
30228721000203,ALTO
30306664000144,ALTO
30387024000106,ALTO
30429461000145,ALTO
30540991000166,ALTO
30935363000180,ALTO
31113974000105,ALTO
31424482000130,ALTO
31708151000122,ALTO
31889379000166,ALTO
32010144000115,ALTO
32322443000195,ALTO
33043557000169,ALTO
33050071000158,ALTO
33325140000199,ALTO
33335038000174,ALTO
33412081000196,ALTO
33438250016403,ALTO
33470818000127,ALTO
33733846000190,ALTO
33759595000112,ALTO
33926291000100,ALTO
33939937000186,ALTO
34146961000120,ALTO
34498925000126,ALTO
34547702000101,ALTO
34963588000109,ALTO
34983370000108,ALTO
35120830000137,ALTO
35412916000133,ALTO
35590227000119,ALTO
35683256000125,ALTO
35689455000140,ALTO
36301447000148,ALTO
36302567000160,ALTO
36368605000187,ALTO
36462652000195,ALTO
36635420000191,ALTO
36720302000181,ALTO
36720351000114,ALTO
36770317000154,ALTO
36978281000107,ALTO
36995044000146,ALTO
37131449000107,ALTO
37256273000101,ALTO
37293745000104,ALTO
37308478000193,ALTO
37308987000116,ALTO
37453838000140,ALTO
37505851000104,ALTO
37669596000127,ALTO
37691351000104,ALTO
37993064000140,ALTO
38160216000197,ALTO
38207835000190,ALTO
38340750000185,ALTO
38434517000161,ALTO
38581778000104,ALTO
39155844000147,ALTO
39243887000184,ALTO
39248148000185,ALTO
39305208000154,ALTO
39391202000147,ALTO
39501134000121,ALTO
39581022000128,ALTO
39651358000110,ALTO
39705939000197,ALTO
39820936000102,ALTO
39842565000151,ALTO
40096705000179,ALTO
40104889000171,ALTO
40161939000152,ALTO
40199915000192,ALTO
40340212000132,ALTO
40605663000154,ALTO
40772029000106,ALTO
40775162000116,ALTO
40843209000131,ALTO
40875128000113,ALTO
41115094000121,ALTO
41410176000107,ALTO
41629702000116,ALTO
41641497000104,ALTO
41668707000158,ALTO
41698904000110,ALTO
42012219000150,ALTO
42134244000107,ALTO
42150391000170,ALTO
42204758000191,ALTO
42340905000150,ALTO
42397826000186,ALTO
42412444000184,ALTO
42809704000150,ALTO
42851661000170,ALTO
42873635000143,ALTO
42904289000113,ALTO
42964216000117,ALTO
43011401000150,ALTO
43064889000183,ALTO
43068182000145,ALTO
43347940000164,ALTO
43384398000110,ALTO
43470988000165,ALTO
43666089000132,ALTO
43697041000191,ALTO
43951761000131,ALTO
44044291000195,ALTO
44183262000104,ALTO
44562479000125,ALTO
44569861000160,ALTO
44717790000104,ALTO
44801669000158,ALTO
44855115000133,ALTO
44936319000107,ALTO
44958870000143,ALTO
45000053000140,ALTO
45043159000121,ALTO
45172263000116,ALTO
45211111000185,ALTO
45452485000192,ALTO
45542908000165,ALTO
49263189000102,ALTO
51928174000150,ALTO
52252681000189,ALTO
56992423000190,ALTO
60730348000166,ALTO
61079117000105,ALTO
61189288030681,ALTO
61532644000115,ALTO
64016496000174,ALTO
67237644000179,ALTO
71091896000100,ALTO
73368086000183,ALTO
76483817000120,ALTO
76484013000145,ALTO
76535764000143,ALTO
78123999000153,ALTO
78876950000171,ALTO
81916645000170,ALTO
84429695000111,ALTO
84683671000194,ALTO
90400888000142,ALTO
91333666000117,ALTO
91954719000117,ALTO
92665611040470,ALTO
92715812000131,ALTO
92754738000162,ALTO
92781335000102,ALTO
96418264021802,ALTO
10301749000122,ALTO
10338320000100,ALTO
10456657000111,ALTO
10733880000169,ALTO
10760583000102,ALTO
11104574000126,ALTO
11172137000301,ALTO
11550868000181,ALTO
11756304000108,ALTO
11844838000188,ALTO
12187218000186,ALTO
12799236000208,ALTO
12947696000147,ALTO
13104520000196,ALTO
13129640000148,ALTO
13332090000160,ALTO
13579623000102,ALTO
13598085000101,ALTO
13740731000115,ALTO
14084811000122,ALTO
14086319000196,ALTO
14116299000159,ALTO
14440840000180,ALTO
14623468000147,ALTO
14767358000159,ALTO
14811993000277,ALTO
15013497000150,ALTO
15206996000163,ALTO
15248104000197,ALTO
15332685000140,ALTO
15516434000116,ALTO
15674543000161,ALTO
15773718000198,ALTO
15912497000191,ALTO
16158313000102,ALTO
16403555000114,ALTO
16415416000100,ALTO
17155730000164,ALTO
17266573000164,ALTO
17344597000194,ALTO
17531322000160,ALTO
17725286000175,ALTO
17728522000107,ALTO
18328118000109,ALTO
18363861000108,ALTO
18771348000148,ALTO
19154930000128,ALTO
19183297000104,ALTO
19195971000405,ALTO
19378769000176,ALTO
19707109000191,ALTO
19965383000160,ALTO
20169827003237,ALTO
20188780000152,ALTO
20283345000107,ALTO
20361750000104,ALTO
20673190000115,ALTO
20940829000181,ALTO
20982880000156,ALTO
21143742000146,ALTO
21483140000138,ALTO
21539610000138,ALTO
22060890000160,ALTO
22252093000184,ALTO
22263688000135,ALTO
22394522000239,ALTO
22652124000194,ALTO
22728151000101,ALTO
23342263000184,ALTO
23553861000100,ALTO
23736121000100,ALTO
23789953000186,ALTO
23887691000192,ALTO
24124500000101,ALTO
24130655000142,ALTO
24634302000180,ALTO
24868232000124,ALTO
24905008000165,ALTO
25138486000150,ALTO
25527463000137,ALTO
26061466000190,ALTO
26253792000108,ALTO
26297064000190,ALTO
26469261000149,ALTO
26701789000100,ALTO
26959591000112,ALTO
27156565000119,ALTO
27201812000151,ALTO
27767544000130,ALTO
27936224000166,ALTO
28230628000100,ALTO
28504204000189,ALTO
28696719000128,ALTO
28836139000199,ALTO
29723915000107,ALTO
29808217000104,ALTO
29834747000127,ALTO
29940823000189,ALTO
29969394000172,ALTO
30027016000159,ALTO
30191969000743,ALTO
30197243000122,ALTO
30328550000103,ALTO
30530147000154,ALTO
30593082000196,ALTO
30692383000177,ALTO
30821388000152,ALTO
30844639000114,ALTO
31002001000107,ALTO
31016426000167,ALTO
31124320000187,ALTO
31376956000116,ALTO
31531372000178,ALTO
31568786000171,ALTO
31570353000150,ALTO
31740036000135,ALTO
31788909000180,ALTO
32050341000168,ALTO
32513691000113,ALTO
32599447000115,ALTO
32637788000138,ALTO
32739993000104,ALTO
32761564000133,ALTO
33041260065290,ALTO
33058493000170,ALTO
33111246000190,ALTO
33200049000147,ALTO
33263463000103,ALTO
33282967000162,ALTO
33376989000191,ALTO
33386210000119,ALTO
33606102000104,ALTO
33809553000149,ALTO
34006948000176,ALTO
34242524000100,ALTO
34344090000150,ALTO
34372306000190,ALTO
34391371000163,ALTO
35227574000181,ALTO
35407314000198,ALTO
35619834000164,ALTO
35792737000179,ALTO
35984411000143,ALTO
36031420000182,ALTO
36089792000160,ALTO
36680402000202,ALTO
36817011000106,ALTO
37163696000187,ALTO
37180685000105,ALTO
37241588000185,ALTO
37248043000109,ALTO
37325738000139,ALTO
37356302000107,ALTO
37411014000108,ALTO
37610271000179,ALTO
37620495000161,ALTO
37858029000119,ALTO
38342348000130,ALTO
38455062000160,ALTO
38504820000193,ALTO
39362364000157,ALTO
39396310000102,ALTO
39419282000100,ALTO
39486284000103,ALTO
39703836000198,ALTO
39744874000199,ALTO
39863905000120,ALTO
39986528000117,ALTO
40062072000188,ALTO
40212519000158,ALTO
40232284000166,ALTO
40314477000166,ALTO
40477035000130,ALTO
40635371000164,ALTO
40693744000153,ALTO
40751012000172,ALTO
40920543000141,ALTO
41019835000170,ALTO
41204115000185,ALTO
41237717000139,ALTO
41283088000183,ALTO
41360194000113,ALTO
41633698000160,ALTO
41750794000198,ALTO
41752081000163,ALTO
41758741000113,ALTO
41794887000114,ALTO
41855757000144,ALTO
42010840000185,ALTO
42068903000154,ALTO
42095761000114,ALTO
42138689000165,ALTO
42200713000149,ALTO
42259311000110,ALTO
42282258000178,ALTO
42430564000104,ALTO
42650485000109,ALTO
42673473000108,ALTO
42673812000148,ALTO
42801875000132,ALTO
42911836000198,ALTO
43073338000186,ALTO
43176719000190,ALTO
43275849000180,ALTO
43341223000125,ALTO
43350076000150,ALTO
43446587000170,ALTO
43465529000193,ALTO
43658922000101,ALTO
43680662000162,ALTO
43781534000105,ALTO
43807625000172,ALTO
43959371000108,ALTO
44041789000102,ALTO
44139761000102,ALTO
